StockCode,Description,TotalQuantity,TotalRevenue,OrderCount,UniqueCustomers,AvgPrice,RevenuePerOrder,RevenuePct,CumulativeRevenuePct,Category
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,1,2.08,168469.6,1.895641275111002,1.895641275111002,Other
22423,REGENCY CAKESTAND 3 TIER,12374,142264.75,1703,881,11.497070470341038,83.53772753963594,1.6007809841855618,3.4964222592965637,Baking
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36706,100392.1,1971,856,2.7350324197678857,50.93460172501268,1.1296246234042893,4.626046882700853,Heart/Love Theme
85099B,JUMBO BAG RED RETROSPOT,46078,85040.54000000001,1600,635,1.845577933070012,53.150337500000006,0.9568869260788189,5.582933808779672,Bags/Holders
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,138,1.0449295395040814,417.5216923076924,0.9161113570197128,6.4990451657993855,Other
POST,POSTAGE,3120,77803.96,1099,331,24.93716666666667,70.79523202911739,0.8754600114387725,7.374505177238158,Other
47566,PARTY BUNTING,15279,68785.23000000001,1379,708,4.501945807971727,49.88051486584482,0.7739801192975087,8.148485296535666,Other
84879,ASSORTED COLOUR BIRD ORNAMENT,35263,56413.03,1375,678,1.5997796557298019,41.02765818181818,0.6347665580144738,8.78325185455014,Other
M,Manual,6933,53419.93,253,197,7.705168036924852,211.14596837944663,0.6010878177519295,9.38433967230207,Other
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,450,1.887498250653703,63.984069912609236,0.5766854432171737,9.961025115519245,Lighting
79321,CHILLI LIGHTS,9646,46265.11,519,205,4.796300020733983,89.14279383429673,0.5205808769864164,10.481605992505662,Lighting
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15591,42584.130000000005,980,613,2.7313276890513762,43.45319387755102,0.47916202384698886,10.96076801635265,Christmas
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,1,649.5,19809.75,0.4458036316300409,11.406571647982691,Other
21137,BLACK RECORD COVER FRAME,11401,39045.8,313,140,3.4247697570388564,124.74696485623004,0.43934828657353714,11.845919934556228,Other
22386,JUMBO BAG PINK POLKADOT,20148,37254.36,871,372,1.8490351399642644,42.77194029850747,0.41919077681578343,12.265110711372012,Bags/Holders
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,648,378,6.721777819408017,55.37168209876543,0.40373586834696934,12.66884657971898,Other
23298,SPOTTY BUNTING,7633,35509.55,1003,571,4.652109262413206,35.403339980059826,0.39955795372350794,13.06840453344249,Other
82484,WOOD BLACK BOARD ANT WHITE FINISH,5913,34414.71,604,285,5.820177574835109,56.97799668874172,0.3872386753869858,13.455643208829475,Other
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010,33298.3,1146,640,4.750114122681883,29.056108202443284,0.37467668867872117,13.830319897508197,Baking
22960,JAM MAKING SET WITH JARS,8140,32616.22,878,573,4.006906633906634,37.14831435079727,0.3670018381363817,14.197321735644579,Other
85099F,JUMBO BAG STRAWBERRY,16771,30569.32,654,315,1.8227487925585832,46.74207951070336,0.3439698601057773,14.541291595750357,Bags/Holders
22178,VICTORIAN GLASS HANGING T-LIGHT,22404,28735.36,815,403,1.2825995357971791,35.258110429447854,0.32333390992305844,14.864625505673414,Lighting
22470,HEART OF WICKER LARGE,9577,28479.65,801,485,2.9737548292784797,35.555118601747814,0.3204566286185463,15.18508213429196,Heart/Love Theme
22469,HEART OF WICKER SMALL,16768,28217.089999999997,961,573,1.68279401240458,29.36221644120707,0.3175022702465127,15.502584404538473,Heart/Love Theme
20725,LUNCH BAG RED RETROSPOT,17576,27868.8,1288,532,1.5856167501137914,21.637267080745342,0.3135832670571634,15.816167671595636,Bags/Holders
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.280000000002,718,472,4.545906913073238,37.00038997214485,0.298927147058911,16.115094818654548,Baking
23199,JUMBO BAG APPLES,13875,26426.3,718,344,1.904598198198198,36.805431754874654,0.29735207437107863,16.412446893025628,Bags/Holders
22727,ALARM CLOCK BAKELIKE RED ,7206,25868.95,877,388,3.589918123785734,29.49709236031927,0.2910807015852282,16.703527594610858,Other
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,9423,25639.77,697,470,2.7209773957338426,36.785896700143475,0.2885019392006203,16.99202953381148,Christmas
20685,DOORMAT RED RETROSPOT,3897,25364.85,576,329,6.508814472671285,44.036197916666666,0.28540850454324873,17.277438038354727,Other
21175,GIN + TONIC DIET METAL SIGN,11501,24944.88,655,330,2.1689313972698026,38.08378625954199,0.2806829489159524,17.55812098727068,Other
22699,ROSES REGENCY TEACUP AND SAUCER ,9119,24827.25,783,423,2.7225847132361003,31.707854406130267,0.2793593612586462,17.837480348529326,Glassware/Mugs
22629,SPACEBOY LUNCH BOX ,13908,24673.14,704,322,1.7740250215703193,35.04707386363636,0.2776252960213135,18.11510564455064,Other
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.550000000003,719,474,4.574167137210616,33.800486787204456,0.27345537040777024,18.38856101495841,Other
23201,JUMBO BAG ALPHABET,12533,24160.44,752,396,1.9277459506901777,32.12824468085106,0.271856330690183,18.660417345648593,Bags/Holders
22457,NATURAL SLATE HEART CHALKBOARD ,8427,24089.170000000002,967,587,2.858570072386377,24.91124095139607,0.2710543916241607,18.931471737272755,Heart/Love Theme
21181,PLEASE ONE PERSON METAL SIGN,11932,23865.820000000003,694,361,2.0001525310090518,34.38878962536023,0.26854122913789585,19.20001296641065,Other
21915,RED  HARMONICA IN BOX ,20945,23756.43,561,349,1.1342291716400095,42.34657754010695,0.2673103590041483,19.4673233254148,Other
85099C,JUMBO  BAG BAROQUE BLACK WHITE,12771,23630.58,649,306,1.8503312191684287,36.41075500770416,0.2658942788658164,19.733217604280615,Bags/Holders
48138,DOORMAT UNION FLAG,3614,23622.54,516,313,6.5363973436635305,45.780116279069766,0.26580381176758683,19.9990214160482,Other
22112,CHOCOLATE HOT WATER BOTTLE,5152,23584.64,700,382,4.577763975155279,33.692342857142854,0.2653773561677237,20.264398772215923,Other
22197,POPCORN HOLDER,30919,23417.51,632,295,0.7573825156052912,37.05302215189873,0.26349678824146694,20.52789556045739,Bags/Holders
23173,REGENCY TEAPOT ROSES ,2662,23033.52,354,248,8.652712246431255,65.0664406779661,0.25917608413087445,20.787071644588266,Other
22138,BAKING SET 9 PIECE RETROSPOT ,4786,22953.100000000002,854,581,4.795883827831175,26.877166276346607,0.2582711881060461,21.045342832694313,Baking
48187,DOORMAT NEW ENGLAND,3698,22783.8,531,314,6.161114115738236,42.90734463276836,0.25636620306496866,21.30170903575928,Other
