CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,326,1,77183.6,1,1,5,7,High-Value Lost
12347.0,2,7,4310.0,5,1,5,11,High-Value Sleepers
12348.0,75,4,1797.24,2,1,4,7,High-Value Lost
12349.0,19,1,1757.55,4,1,4,9,High-Value Sleepers
12350.0,310,1,334.4,1,1,2,4,Lost Customers
12352.0,36,8,2506.04,3,1,5,9,High-Value Lost
12353.0,204,1,89.0,1,1,1,3,Lost Customers
12354.0,232,1,1079.4,1,1,4,6,High-Value Lost
12355.0,214,1,459.4,1,1,2,4,Lost Customers
12356.0,23,3,2811.43,4,1,5,10,High-Value Sleepers
12357.0,33,1,6207.67,4,1,5,10,High-Value Sleepers
12358.0,2,2,1168.06,5,1,4,10,High-Value Sleepers
12359.0,58,4,6310.03,3,1,5,9,High-Value Lost
12360.0,52,3,2662.06,3,1,5,9,High-Value Lost
12361.0,287,1,189.9,1,1,1,3,Lost Customers
12362.0,3,10,5226.23,5,1,5,11,High-Value Sleepers
12363.0,110,2,552.0,2,1,3,6,High-Value Lost
12364.0,8,4,1313.1,5,1,4,10,High-Value Sleepers
12365.0,291,2,641.38,1,1,3,5,High-Value Lost
12367.0,4,1,168.9,5,1,1,7,New Customers
12370.0,51,4,3541.94,3,1,5,9,High-Value Lost
12371.0,45,2,1887.96,3,1,4,8,High-Value Lost
12372.0,72,3,1298.04,3,1,4,8,High-Value Lost
12373.0,311,1,364.6,1,1,2,4,Lost Customers
12374.0,25,1,742.9300000000001,4,1,3,8,High-Value Sleepers
12375.0,11,2,457.5,5,1,2,8,New Customers
12377.0,315,2,1628.12,1,1,4,6,High-Value Lost
12378.0,130,1,4008.62,2,1,5,8,High-Value Lost
12379.0,82,2,852.24,2,1,3,6,High-Value Lost
12380.0,22,4,2724.81,4,1,5,10,High-Value Sleepers
12381.0,5,5,1845.31,5,1,4,10,High-Value Sleepers
12383.0,185,5,1850.56,1,1,4,6,High-Value Lost
12384.0,29,2,585.27,4,1,3,8,High-Value Sleepers
12386.0,338,2,401.9,1,1,2,4,Lost Customers
12388.0,16,6,2780.66,4,1,5,10,High-Value Sleepers
12390.0,80,1,549.84,2,1,3,6,High-Value Lost
12391.0,22,1,439.66,4,1,2,7,New Customers
12393.0,72,4,1582.6000000000001,3,1,4,8,High-Value Lost
12394.0,64,2,1272.48,3,1,4,8,High-Value Lost
12395.0,19,12,3018.63,4,1,5,10,High-Value Sleepers
12397.0,36,2,2409.9,3,1,5,9,High-Value Lost
